course_id,course_name,distance_km,elevation_min_m,elevation_max_m,elevation_gain_m,elevation_loss_m,max_grade_pct,difficulty_final
RM_SEOUL_009,지하철 4호선 당고개역 ~ 코스 1-2 불암산 우회코스 갈림길,4.42,84.8,173.4,184.0,248.7,35.63,보통
RM_SEOUL_004,탕춘대성 암문 ~ 코스 8-1 선림사 옆,6.27,41.9,214.8,281.7,313.5,28.94,어려움
RM_SEOUL_011,방이동 생태경관보전지역 ~ 수서역 5번출구,8.27,10.3,58.2,66.6,64.0,10.91,보통
RM_SEOUL_005,7.빨래골지킴터 ~ 탕춘대성 암문,10.26,88.9,278.3,483.0,417.6,30.93,어려움
RM_SEOUL_010,지하철 6호선 화랑대역 4번출구 ~ 지하철 5호선 광나루역 1번출구,12.63,18.7,313.5,334.1,361.1,28.34,어려움
RM_SEOUL_003,지하철 4호선 사당역 4번출구 ~ 지하철 1호선 석수역 1번출구,12.81,18.0,240.5,524.0,530.9,32.72,어려움
RM_SEOUL_007,코스 8-6 도봉탐방지원센터 옆 ~ 7.빨래골지킴터,14.31,41.5,151.8,575.5,503.7,27.63,어려움
RM_SEOUL_008,1-1코스 창포원 관리사무소 앞 ~ 지하철 6호선 화랑대역 4번출구,14.61,22.2,190.6,447.3,450.8,24.0,어려움
RM_SEOUL_012,코스 3-2 광진교 초입 ~ 방이동 생태경관보전지역,15.66,11.6,123.2,232.3,212.6,17.3,어려움
RM_SEOUL_002,코스 6-1 석수역 앞 ~ 코스 7-1 가양대교 시작점,17.49,2.5,21.0,49.2,71.9,7.48,보통
RM_SEOUL_006,"지하철 3호선, 분당선 수서역 6번 출구 ~ 지하철 2호선, 4호선 사당역 4번출구",17.74,17.5,195.2,590.9,585.5,31.6,어려움
RM_SEOUL_001,코스 7-1 가양대교 시작점 ~ 코스 8-1 선림사 옆,18.84,2.5,228.5,619.6,472.7,29.03,어려움
