course_id,course_name,district,distance_km,osm_match_ratio,surface_known_ratio,surface_paved_ratio,surface_unpaved_ratio,surface_top,lit_known_ratio,lit_yes_ratio,lit_no_ratio,foot_known_ratio,foot_allowed_ratio,pedestrian_path_ratio,cycleway_ratio,steps_sample_ratio,smoothness_known_ratio,smoothness_good_ratio,highway_top
RM_SEOUL_009,지하철 4호선 당고개역 ~ 코스 1-2 불암산 우회코스 갈림길,노원구,4.42,96.1,91.2,2.6,97.4,earth:149|asphalt:4|dirt:3,0.0,0.0,0.0,0.0,0.0,90.6,0.0,0.6,0.0,0.0,path:155|residential:5|motorway:4|trunk:4|track:2
RM_SEOUL_004,탕춘대성 암문 ~ 코스 8-1 선림사 옆,은평구,6.27,100.0,86.9,41.6,52.5,earth:114|paving_stones:79|wood:13|asphalt:12|unpaved:1,0.0,0.0,0.0,58.3,100.0,80.6,0.0,6.3,0.0,0.0,path:195|residential:31|steps:16|footway:8|service:2
RM_SEOUL_011,방이동 생태경관보전지역 ~ 수서역 5번출구,송파구,8.27,100.0,40.1,61.7,0.0,asphalt:65|rubber:51|paving_stones:13|concrete:4,10.5,100.0,0.0,27.7,100.0,51.5,36.4,0.0,17.2,100.0,footway:167|cycleway:121|residential:24|service:6|tertiary:4
RM_SEOUL_005,7.빨래골지킴터 ~ 탕춘대성 암문,종로구,10.26,100.0,97.8,59.3,36.2,asphalt:203|earth:146|wood:17|paved:15|concrete:10,3.6,100.0,0.0,0.0,0.0,42.5,0.0,4.4,0.0,0.0,residential:203|path:159|steps:18|footway:16|tertiary:14
RM_SEOUL_010,지하철 6호선 화랑대역 4번출구 ~ 지하철 5호선 광나루역 1번출구,중랑구,12.63,99.6,72.9,40.8,52.2,earth:125|asphalt:96|ground:62|paving_stones:29|concrete:25,19.8,39.0,61.0,5.1,100.0,73.1,2.4,6.1,4.8,37.5,path:219|footway:131|tertiary:41|steps:31|service:26
RM_SEOUL_003,지하철 4호선 사당역 4번출구 ~ 지하철 1호선 석수역 1번출구,관악구,12.81,98.8,9.1,91.3,8.7,asphalt:22|paving_stones:20|earth:3|ground:1,3.7,100.0,0.0,26.6,93.3,78.3,2.2,1.8,4.3,100.0,path:362|service:39|footway:36|residential:32|trunk:12
RM_SEOUL_007,코스 8-6 도봉탐방지원센터 옆 ~ 7.빨래골지킴터,강북구,14.31,100.0,97.0,26.0,70.7,earth:348|asphalt:102|ground:43|paving_stones:29|wood:18,5.1,0.0,100.0,4.7,37.0,75.3,0.0,2.4,0.2,100.0,path:410|residential:57|service:53|footway:19|secondary:16
RM_SEOUL_008,1-1코스 창포원 관리사무소 앞 ~ 지하철 6호선 화랑대역 4번출구,노원구,14.61,93.2,85.9,18.6,81.2,earth:374|asphalt:58|paved:26|ground:7|paving_stones:2,0.5,100.0,0.0,2.0,100.0,82.8,1.5,0.0,0.0,0.0,path:409|residential:44|footway:43|secondary:28|service:9
RM_SEOUL_012,코스 3-2 광진교 초입 ~ 방이동 생태경관보전지역,강동구,15.66,96.0,45.4,47.4,50.7,ground:139|asphalt:111|paving_stones:17|wood:5|concrete:2,4.8,100.0,0.0,9.6,98.3,56.7,18.2,1.2,23.2,0.0,path:277|cycleway:110|footway:65|residential:43|service:35
RM_SEOUL_002,코스 6-1 석수역 앞 ~ 코스 7-1 가양대교 시작점,구로구,17.49,100.0,59.1,100.0,0.0,concrete:344|asphalt:71,0.4,33.3,66.7,78.9,64.4,13.2,73.5,0.4,2.3,100.0,cycleway:516|footway:76|service:33|trunk:23|pedestrian:16
RM_SEOUL_006,"지하철 3호선, 분당선 수서역 6번 출구 ~ 지하철 2호선, 4호선 사당역 4번출구",서초구,17.74,100.0,44.6,2.5,97.2,unpaved:284|earth:17|asphalt:8|ground:7|tartan:1,0.4,100.0,0.0,7.6,94.4,80.9,7.3,1.1,15.0,0.0,path:536|cycleway:52|footway:38|service:33|residential:20
RM_SEOUL_001,코스 7-1 가양대교 시작점 ~ 코스 8-1 선림사 옆,은평구,18.84,94.6,59.9,29.7,70.3,ground:301|asphalt:74|paving_stones:28|concrete:25,4.6,100.0,0.0,5.6,100.0,64.9,13.4,0.1,0.0,0.0,path:313|footway:149|cycleway:96|primary:62|unclassified:28
RM_STREAM_001,황제천길,서대문구|종로구,2.1,100.0,50.6,100.0,0.0,paved:32|asphalt:11,37.6,0.0,100.0,0.0,0.0,21.2,37.6,0.0,0.0,0.0,cycleway:32|residential:18|pedestrian:18|trunk:8|trunk_link:4
