course_id,course_name,district,distance_km,difficulty_final,elevation_gain_m,max_grade_pct,toilet_count_300m,water_count_300m,realtime_area_count
RM_STREAM_001,황제천길,서대문구|종로구,2.1,쉬움,18.6,9.29,20,6,0
RM_STREAM_002,강남서초한강길,강남구|동작구|서초구,10.3,보통,96.2,13.86,23,26,2
RM_STREAM_003,강서한강길,강서구,9.29,보통,43.8,10.22,13,19,1
RM_STREAM_004,양재천,강남구|서초구|용산구,10.97,쉬움,24.6,6.84,44,25,0
RM_STREAM_005,여의천,서초구,5.71,쉬움,23.2,7.72,14,14,0
RM_STREAM_006,영등포동작구한강길,강서구|동작구|영등포구,16.0,보통,82.2,9.41,43,44,5
RM_STREAM_007,굴포천2,서울,2.36,쉬움,5.0,8.66,0,0,0
RM_STREAM_008,당현천 길,노원구,2.87,쉬움,2.2,5.38,23,7,0
RM_STREAM_009,도림천,관악구|구로구|동작구|양천구|영등포구,9.79,쉬움,47.4,7.31,59,30,3
RM_STREAM_010,도봉천 길,도봉구,1.2,쉬움,0.0,13.52,6,2,0
RM_STREAM_011,도봉천길,노원구|도봉구,1.59,쉬움,0.0,3.91,11,2,0
RM_STREAM_012,반포천,동작구|서초구,2.56,쉬움,16.8,11.56,14,3,0
RM_STREAM_013,불광천긴,마포구|서대문구|은평구,4.55,쉬움,7.8,7.13,43,19,1
RM_STREAM_014,성북천 길,동대문구|성동구|성북구|종로구,3.66,쉬움,0.0,5.11,28,8,0
RM_STREAM_015,영등포구동작한강길,영등포구,3.87,쉬움,13.4,8.85,7,8,3
RM_STREAM_016,독정천,강남구|송파구,2.8,쉬움,2.5,8.19,6,1,1
RM_STREAM_017,망월천 길,강동구,4.0,쉬움,2.4,4.72,1,0,0
RM_STREAM_018,방학천길,도봉구,1.96,쉬움,0.0,6.04,13,7,1
RM_STREAM_019,세곡천,강남구,3.87,쉬움,0.0,4.02,8,3,0
RM_STREAM_020,고덕천 길,강동구,4.07,쉬움,11.8,7.22,16,4,0
RM_STREAM_021,마포한강길,마포구|용산구,15.59,보통,49.2,7.48,53,46,3
RM_STREAM_022,목감천,구로구,3.91,쉬움,6.5,5.61,9,3,0
RM_STREAM_023,묵동천 길,노원구|성북구|중랑구,3.04,쉬움,3.3,6.07,24,6,0
RM_STREAM_024,성내천 길,강동구|송파구,6.1,쉬움,20.6,6.77,32,19,2
RM_STREAM_025,성동광진한강길,광진구|성동구,13.25,보통,101.8,11.09,50,33,3
RM_STREAM_026,송파강동한강길,강동구|송파구,16.59,보통,45.1,6.77,37,28,2
RM_STREAM_027,안양천길,강서구|구로구|금천구|양천구|영등포구,15.77,보통,45.6,6.71,65,38,1
RM_STREAM_028,용산한강길,마포구|용산구,8.6,보통,64.0,11.92,30,24,1
RM_STREAM_029,우이천 길,강북구|노원구|도봉구|성북구,7.73,쉬움,0.0,5.36,44,11,3
RM_STREAM_030,중랑천 길,광진구|노원구|도봉구|동대문구|성동구|성북구|중랑구,21.64,보통,46.1,5.66,139,75,2
RM_STREAM_031,청계천 길,동대문구|성동구|종로구|중구,8.18,보통,34.9,8.81,134,17,6
RM_STREAM_032,홍제천길,마포구|서대문구,5.96,쉬움,55.5,9.91,46,21,2
RM_STREAM_033,정릉천 길,동대문구|성동구|성북구,3.66,쉬움,33.2,12.04,32,7,0
RM_STREAM_034,탄천 길,강남구|송파구,7.44,보통,102.1,16.55,26,1,0
RM_STREAM_035,굴포천,서울,7.6,쉬움,0.0,2.89,0,0,0
RM_WALL_036,낙산구간,성북구|종로구|중구,2.38,보통,61.4,28.48,37,14,2
RM_WALL_037,남산구간,용산구|중구,4.5,보통,236.0,40.39,22,13,1
RM_WALL_038,낙산구간,성북구|종로구|중구,2.66,보통,68.5,26.56,37,14,2
RM_WALL_039,숭례문구간,서대문구|종로구|중구,2.43,보통,38.0,16.7,26,6,4
RM_WALL_040,흥인지문구간,종로구|중구,1.95,쉬움,17.4,8.76,32,2,5
RM_WALL_041,백악구간,성북구|종로구,4.94,보통,236.6,35.39,19,6,0
RM_WALL_042,인왕구간,종로구|중구,3.82,어려움,252.2,43.06,26,4,0
