course_id,course_name,district,walk_network_match_ratio,walkability_grade,crosswalk_link_count,bridge_link_count,tunnel_link_count,park_green_link_count,live_air_pm10,live_air_pm25,live_air_cai,live_air_grade,live_air_measured_at
RM_SEOUL_009,지하철 4호선 당고개역 ~ 코스 1-2 불암산 우회코스 갈림길,노원구,16.0,검토필요,37,0,0,0,21.0,14.0,61.0,보통,202608271500
RM_SEOUL_004,탕춘대성 암문 ~ 코스 8-1 선림사 옆,은평구,25.0,검토필요,8,0,0,0,,,69.0,보통,202608271500
RM_SEOUL_011,방이동 생태경관보전지역 ~ 수서역 5번출구,송파구,80.2,매우양호,5,0,0,0,20.0,17.5,78.0,보통,202608271500
RM_SEOUL_005,7.빨래골지킴터 ~ 탕춘대성 암문,종로구,75.4,양호,17,0,0,0,20.0,13.0,65.6667,보통,202608271500
RM_SEOUL_010,지하철 6호선 화랑대역 4번출구 ~ 지하철 5호선 광나루역 1번출구,중랑구,52.3,양호,31,0,0,0,25.3333,16.6667,71.3333,보통,202608271500
RM_SEOUL_003,지하철 4호선 사당역 4번출구 ~ 지하철 1호선 석수역 1번출구,관악구,42.6,검토필요,29,0,0,0,21.75,11.75,76.25,보통,202608271500
RM_SEOUL_007,코스 8-6 도봉탐방지원센터 옆 ~ 7.빨래골지킴터,강북구,39.3,검토필요,0,0,0,0,17.0,13.0,66.5,보통,202608271500
RM_SEOUL_008,1-1코스 창포원 관리사무소 앞 ~ 지하철 6호선 화랑대역 4번출구,노원구,43.7,검토필요,46,0,0,0,18.0,11.0,65.0,보통,202608271500
RM_SEOUL_012,코스 3-2 광진교 초입 ~ 방이동 생태경관보전지역,강동구,57.6,양호,44,0,0,0,25.0,18.0,79.0,보통,202608271500
RM_SEOUL_002,코스 6-1 석수역 앞 ~ 코스 7-1 가양대교 시작점,구로구,93.5,매우양호,159,0,0,0,17.6,10.8,66.4,보통,202608271500
RM_SEOUL_006,"지하철 3호선, 분당선 수서역 6번 출구 ~ 지하철 2호선, 4호선 사당역 4번출구",서초구,21.2,검토필요,45,0,0,0,20.0,10.6667,77.0,보통,202608271500
RM_SEOUL_001,코스 7-1 가양대교 시작점 ~ 코스 8-1 선림사 옆,은평구,54.7,양호,64,0,0,0,16.6667,12.0,61.3333,보통,202608271500
RM_STREAM_001,황제천길,서대문구|종로구,93.5,매우양호,0,0,0,0,23.5,13.0,70.0,보통,202608271500
RM_STREAM_002,강남서초한강길,강남구|동작구|서초구,95.8,매우양호,137,0,0,0,22.1667,9.8333,74.3333,보통,202608271500
RM_STREAM_003,강서한강길,강서구,90.8,매우양호,20,0,0,0,11.0,13.0,58.0,보통,202608271500
RM_STREAM_004,양재천,강남구|서초구|용산구,64.5,양호,91,0,0,0,20.6667,7.6667,73.0,보통,202608271500
RM_STREAM_005,여의천,서초구,71.5,양호,12,0,0,0,17.0,7.0,70.0,보통,202608271500
RM_STREAM_006,영등포동작구한강길,강서구|동작구|영등포구,81.3,매우양호,136,0,0,0,17.8,10.8,62.8,보통,202608271500
RM_STREAM_007,굴포천2,서울,0.0,검토필요,0,0,0,0,,,,,
RM_STREAM_008,당현천 길,노원구,72.0,양호,1,0,0,0,21.0,14.0,61.0,보통,202608271500
RM_STREAM_009,도림천,관악구|구로구|동작구|양천구|영등포구,100.0,매우양호,46,0,0,0,18.6,10.6,68.2,보통,202608271500
RM_STREAM_010,도봉천 길,도봉구,95.3,매우양호,0,0,0,0,15.0,8.0,69.0,보통,202608271500
RM_STREAM_011,도봉천길,노원구|도봉구,100.0,매우양호,0,0,0,0,18.0,11.0,65.0,보통,202608271500
RM_STREAM_012,반포천,동작구|서초구,97.2,매우양호,24,0,0,0,18.5,8.5,70.0,보통,202608271500
RM_STREAM_013,불광천긴,마포구|서대문구|은평구,100.0,매우양호,2,0,0,0,19.5,11.5,63.0,보통,202608271500
RM_STREAM_014,성북천 길,동대문구|성동구|성북구|종로구,100.0,매우양호,80,0,0,0,20.75,10.5,70.25,보통,202608271500
RM_STREAM_015,영등포구동작한강길,영등포구,80.5,매우양호,35,0,0,0,17.0,13.0,60.0,보통,202608271500
RM_STREAM_016,독정천,강남구|송파구,34.6,검토필요,1,0,0,0,20.0,17.5,78.0,보통,202608271500
RM_STREAM_017,망월천 길,강동구,17.3,검토필요,0,0,0,0,25.0,10.0,82.0,보통,202608271500
